Unnamed: 0,kernel,molecule,backend,expect,expect_ideal,expect_sq,expect_sq_ideal,fidelity,depth,n_2qubit,Kernel,std,std_ideal,bias,bias_rel,Molecule,Groups
86,qwc,BeH2,ibmq_torino,-2.7224606577761302e-05,-2.7295425799123525e-05,3.142997961552851e-05,3.142997961552851e-05,-1.0,4,0,QWC,0.005606178594758215,0.005606178250400084,7.081922136222303e-08,0.002594545396851698,$\mathrm{BeH_2}$,1
87,qwc,BeH2,ibmq_torino,-2.7224606577760963e-05,-2.7295425799123884e-05,3.142997961552851e-05,3.142997961552851e-05,-1.0,4,0,QWC,0.005606178594758215,0.005606178250400084,7.081922136292098e-08,0.0025945453968772344,$\mathrm{BeH_2}$,1
88,qwc,BeH2,ibmq_torino,-2.7224606577760892e-05,-2.729542579912364e-05,3.142997961552848e-05,3.142997961552848e-05,-1.0,3,0,QWC,0.005606178594758213,0.005606178250400082,7.081922136274819e-08,0.002594545396870927,$\mathrm{BeH_2}$,1
89,qwc,BeH2,ibmq_torino,-2.722460657776084e-05,-2.7295425799123535e-05,3.142997961552845e-05,3.142997961552845e-05,-1.0,4,0,QWC,0.00560617859475821,0.00560617825040008,7.081922136269398e-08,0.002594545396868951,$\mathrm{BeH_2}$,1
90,qwc,BeH2,ibmq_torino,-2.722460657776123e-05,-2.7295425799124023e-05,3.142997961552847e-05,3.142997961552847e-05,-1.0,4,0,QWC,0.005606178594758212,0.005606178250400082,7.081922136279223e-08,0.0025945453968725042,$\mathrm{BeH_2}$,1
91,qwc,BeH2,ibmq_torino,-2.7224606577761268e-05,-2.729542579912377e-05,3.142997961552853e-05,3.142997961552853e-05,-1.0,4,0,QWC,0.0056061785947582165,0.005606178250400086,7.081922136250085e-08,0.0025945453968618535,$\mathrm{BeH_2}$,1
92,qwc,BeH2,ibmq_torino,-2.722460657776143e-05,-2.7295425799124233e-05,3.142997961552847e-05,3.142997961552847e-05,-1.0,4,0,QWC,0.005606178594758212,0.005606178250400082,7.08192213628024e-08,0.002594545396872857,$\mathrm{BeH_2}$,1
93,qwc,BeH2,ibmq_torino,-2.7224606577760916e-05,-2.7295425799123325e-05,3.142997961552848e-05,3.142997961552848e-05,-1.0,4,0,QWC,0.005606178594758213,0.005606178250400082,7.081922136240937e-08,0.002594545396858544,$\mathrm{BeH_2}$,1
94,qwc,BeH2,ibmq_torino,-2.722460657776087e-05,-2.729542579912388e-05,3.1429979615528466e-05,3.1429979615528466e-05,-1.0,4,0,QWC,0.005606178594758211,0.005606178250400081,7.081922136301246e-08,0.0025945453968805863,$\mathrm{BeH_2}$,1
95,qwc,BeH2,ibmq_torino,-2.722460657776134e-05,-2.729542579912375e-05,3.1429979615528405e-05,3.1429979615528405e-05,-1.0,3,0,QWC,0.005606178594758206,0.0056061782504000755,7.081922136240937e-08,0.002594545396858504,$\mathrm{BeH_2}$,1
96,qwc,BeH2,ibmq_torino,-2.7224606577761336e-05,-2.7295425799123867e-05,3.1429979615528426e-05,3.1429979615528426e-05,-1.0,4,0,QWC,0.005606178594758208,0.005606178250400077,7.081922136253135e-08,0.0025945453968629615,$\mathrm{BeH_2}$,1
97,qwc,BeH2,ibmq_torino,-2.7224606577761136e-05,-2.7295425799123725e-05,3.142997961552844e-05,3.142997961552844e-05,-1.0,4,0,QWC,0.005606178594758209,0.005606178250400078,7.081922136258895e-08,0.002594545396865085,$\mathrm{BeH_2}$,1
98,qwc,BeH2,ibmq_torino,-2.7224606577760933e-05,-2.7295425799123735e-05,3.142997961552845e-05,3.142997961552845e-05,-1.0,4,0,QWC,0.00560617859475821,0.00560617825040008,7.08192213628024e-08,0.002594545396872904,$\mathrm{BeH_2}$,1
99,qwc,BeH2,ibmq_torino,-2.7224606577761424e-05,-2.7295425799124267e-05,3.142997961552848e-05,3.142997961552848e-05,-1.0,3,0,QWC,0.005606178594758213,0.005606178250400082,7.081922136284305e-08,0.002594545396874343,$\mathrm{BeH_2}$,1
100,qwc,BeH2,ibmq_torino,-2.854788328315475e-06,-2.8622144737153945e-06,2.8856438860220628e-05,2.8856438860220628e-05,-1.0,4,0,QWC,0.005371818194094456,0.005371818190142787,7.426145399919406e-09,0.002594545401162634,$\mathrm{BeH_2}$,1
